fold,model,mae,spearman,auc_perfect_recall,n_test,hlr_config
0,baseline_global_mean,0.1767657166741598,,0.5,643630,"lr=0.01,ep=8"
0,HLR_tuned,0.1700294382235992,0.0345508547694039,0.5273288186815019,643630,"lr=0.01,ep=8"
0,Ridge_linear,0.1724172681570053,0.1455956325301867,0.612713863641229,643630,"lr=0.01,ep=8"
0,GBM,0.1717310715765315,0.152076875495998,0.6169552382591801,643630,"lr=0.01,ep=8"
0,baseline_global_mean__lag>=5min,0.1776292402656292,,0.5,542470,"lr=0.01,ep=8"
0,GBM__lag>=5min,0.1752532514035039,0.1401238657063786,0.6074140777794049,542470,"lr=0.01,ep=8"
1,baseline_global_mean,0.1745425033133689,,0.5,643630,"lr=0.01,ep=8"
1,HLR_tuned,0.1635101392953166,0.0473172623552205,0.5371757598285251,643630,"lr=0.01,ep=8"
1,Ridge_linear,0.1706801354885101,0.1217544530248401,0.5967700019681537,643630,"lr=0.01,ep=8"
1,GBM,0.1695074625730316,0.1321206428413406,0.6040172233340677,643630,"lr=0.01,ep=8"
1,baseline_global_mean__lag>=5min,0.176463010351568,,0.5,539602,"lr=0.01,ep=8"
1,GBM__lag>=5min,0.1739088196439499,0.1177704523716952,0.5921992484029583,539602,"lr=0.01,ep=8"
2,baseline_global_mean,0.1754591344021498,,0.5,643629,"lr=0.01,ep=8"
2,HLR_tuned,0.1671640367701432,0.0530720284761071,0.5417031636027327,643629,"lr=0.01,ep=8"
2,Ridge_linear,0.1712685227394104,0.1193195989984848,0.5942469413570217,643629,"lr=0.01,ep=8"
2,GBM,0.1705112037812453,0.1282165721633607,0.6003030111619388,643629,"lr=0.01,ep=8"
2,baseline_global_mean__lag>=5min,0.1778537600707746,,0.5,533489,"lr=0.01,ep=8"
2,GBM__lag>=5min,0.1752618615010923,0.1191752098219148,0.5925051920540403,533489,"lr=0.01,ep=8"
