,0
history_correct,0.0009427253706678999
delta_days,0.0009257171995374
hist_rate,0.0005347703574402333
wrong,0.00040152264814999995
learning_language_fr,0.0001543789254703053
learning_language_es,4.660094621141327e-05
sqrt_wrong,3.59900580391e-05
learning_language_pt,1.8369588553000342e-05
ui_language_it,1.7008359239982048e-05
sqrt_correct,0.0
sqrt_seen,0.0
ui_language_pt,-4.955931190531171e-06
ui_language_en,-5.540042602458772e-06
learning_language_en,-1.7304478511901793e-05
ui_language_es,-1.8202362570873823e-05
learning_language_it,-2.773869915316807e-05
learning_language_de,-3.4441937237065604e-05
history_seen,-0.0003210421650704665
